iter	Passed	Remaining
482	6423	6875
483	6441	6867
484	6455	6854
485	6464	6836
486	6473	6818
487	6483	6802
488	6492	6784
489	6507	6773
490	6521	6760
491	6533	6745
492	6550	6736
493	6572	6731
494	6586	6719
495	6600	6706
496	6614	6694
497	6632	6685
498	6647	6673
499	6658	6658
500	6666	6640
501	6678	6625
502	6691	6611
503	6700	6593
504	6715	6582
505	6729	6569
506	6743	6557
507	6756	6543
508	6764	6525
509	6780	6514
510	6793	6500
511	6825	6505
512	6842	6496
513	6855	6481
514	6865	6465
515	6874	6447
516	6885	6432
517	6896	6417
518	6905	6400
519	6917	6385
520	6927	6368
521	6937	6352
522	6948	6337
523	6961	6324
524	6975	6311
525	6991	6300
526	7007	6289
527	7019	6274
528	7030	6259
529	7038	6241
530	7052	6228
531	7065	6215
532	7073	6197
533	7084	6182
534	7096	6167
535	7108	6153
536	7117	6136
537	7136	6128
538	7152	6117
539	7181	6117
540	7197	6106
541	7210	6092
542	7222	6078
543	7232	6062
544	7242	6046
545	7251	6029
546	7260	6012
547	7271	5998
548	7280	5980
549	7291	5965
550	7306	5954
551	7320	5941
552	7342	5935
553	7364	5929
554	7376	5914
555	7385	5898
556	7398	5883
557	7406	5866
558	7417	5851
559	7428	5836
560	7437	5820
561	7447	5803
562	7458	5789
563	7468	5773
564	7480	5759
565	7490	5743
566	7504	5730
567	7515	5716
568	7526	5701
569	7543	5690
570	7564	5683
571	7574	5667
572	7585	5652
573	7596	5638
574	7605	5621
575	7619	5609
576	7630	5594
577	7644	5581
578	7653	5564
579	7669	5553
580	7684	5541
581	7699	5530
582	7716	5519
583	7732	5508
584	7746	5495
585	7768	5488
586	7778	5472
587	7789	5458
588	7799	5442
589	7809	5427
590	7820	5412
591	7830	5396
592	7839	5380
593	7853	5367
594	7864	5353
595	7872	5336
596	7885	5323
597	7899	5310
598	7913	5297
599	7928	5285
600	7938	5270
601	7951	5256
602	7962	5242
603	7972	5226
604	7981	5210
605	7992	5196
606	8000	5180
607	8012	5166
608	8024	5151
609	8032	5135
610	8046	5122
611	8056	5107
612	8065	5091
613	8083	5081
614	8101	5071
615	8124	5064
616	8157	5063
617	8175	5053
618	8188	5040
619	8202	5027
620	8213	5012
621	8226	4999
622	8240	4986
623	8261	4977
624	8275	4965
625	8286	4950
626	8297	4936
627	8319	4928
628	8332	4914
629	8347	4902
630	8365	4892
631	8380	4879
632	8388	4863
633	8401	4850
634	8415	4837
635	8431	4825
636	8448	4814
637	8465	4803
638	8482	4792
639	8494	4777
640	8503	4762
641	8512	4746
642	8523	4732
643	8540	4720
644	8550	4705
645	8559	4690
646	8574	4678
647	8587	4664
648	8603	4653
649	8623	4643
650	8644	4634
651	8654	4619
652	8665	4604
653	8677	4590
654	8689	4577
655	8699	4561
656	8710	4547
657	8718	4531
658	8729	4516
659	8739	4501
660	8748	4486
661	8762	4474
662	8774	4459
663	8785	4445
664	8803	4434
665	8815	4421
666	8827	4407
667	8843	4395
668	8855	4381
669	8873	4370
670	8885	4356
671	8894	4341
672	8904	4326
673	8914	4311
674	8924	4296
675	8936	4283
676	8950	4270
677	8961	4256
678	8971	4241
679	8987	4229
680	9010	4220
681	9026	4208
682	9042	4196
683	9057	4184
684	9067	4169
685	9076	4154
686	9087	4140
687	9096	4125
688	9112	4113
689	9123	4099
690	9137	4085
691	9146	4070
692	9157	4056
693	9169	4043
694	9182	4029
695	9193	4015
696	9206	4002
697	9222	3990
698	9234	3976
699	9246	3962
700	9254	3947
701	9265	3933
702	9276	3918
703	9285	3904
704	9296	3889
705	9312	3878
706	9326	3865
707	9336	3850
708	9345	3835
709	9358	3822
710	9372	3809
711	9389	3798
712	9399	3783
713	9419	3773
714	9427	3757
715	9439	3744
716	9451	3730
717	9460	3715
718	9473	3702
719	9484	3688
720	9495	3674
721	9507	3660
722	9516	3645
723	9530	3633
724	9545	3620
725	9559	3607
726	9570	3593
727	9578	3578
728	9590	3565
729	9601	3551
730	9610	3536
731	9622	3523
732	9635	3509
733	9650	3497
734	9661	3483
735	9673	3469
736	9687	3457
737	9703	3444
738	9716	3431
739	9727	3417
740	9736	3403
741	9748	3389
742	9761	3376
743	9770	3361
744	9791	3351
745	9800	3336
746	9814	3324
747	9825	3310
748	9834	3295
749	9848	3282
750	9861	3269
751	9876	3257
752	9898	3246
753	9910	3233
754	9921	3219
755	9930	3205
756	9943	3191
757	9955	3178
758	9967	3165
759	9977	3150
760	9988	3137
761	9999	3123
762	10010	3109
763	10023	3096
764	10034	3082
765	10050	3070
766	10066	3058
767	10082	3045
768	10105	3035
769	10118	3022
770	10130	3008
771	10141	2995
772	10150	2980
773	10165	2968
774	10176	2954
775	10184	2939
776	10199	2927
777	10209	2913
778	10221	2899
779	10232	2886
780	10247	2873
781	10264	2861
782	10277	2848
783	10289	2834
784	10298	2820
785	10307	2806
786	10318	2792
787	10326	2778
788	10338	2764
789	10349	2751
790	10358	2736
791	10370	2723
792	10381	2709
793	10394	2696
794	10402	2682
795	10418	2670
796	10436	2658
797	10454	2646
798	10488	2638
799	10499	2624
800	10510	2611
801	10522	2597
802	10530	2583
803	10542	2569
804	10555	2556
805	10566	2543
806	10575	2529
807	10588	2515
808	10597	2501
809	10608	2488
810	10622	2475
811	10638	2463
812	10661	2452
813	10674	2439
814	10686	2425
815	10700	2412
816	10710	2399
817	10731	2387
818	10741	2373
819	10752	2360
820	10768	2347
821	10788	2336
822	10806	2324
823	10820	2311
824	10834	2298
825	10849	2285
826	10860	2271
827	10869	2258
828	10880	2244
829	10891	2230
830	10900	2216
831	10910	2203
832	10921	2189
833	10929	2175
834	10945	2162
835	10969	2151
836	10990	2140
837	11006	2127
838	11023	2115
839	11041	2103
840	11066	2092
841	11075	2078
842	11085	2064
843	11097	2051
844	11108	2037
845	11117	2023
846	11128	2010
847	11138	1996
848	11150	1983
849	11162	1969
850	11172	1956
851	11183	1942
852	11196	1929
853	11226	1919
854	11242	1906
855	11254	1893
856	11262	1879
857	11275	1866
858	11287	1852
859	11297	1839
860	11305	1825
861	11317	1811
862	11326	1798
863	11338	1784
864	11355	1772
865	11367	1758
866	11378	1745
867	11390	1732
868	11403	1718
869	11419	1706
870	11434	1693
871	11449	1680
872	11463	1667
873	11474	1654
874	11483	1640
875	11495	1627
876	11508	1614
877	11516	1600
878	11528	1587
879	11542	1573
880	11553	1560
881	11562	1546
882	11574	1533
883	11588	1520
884	11605	1508
885	11625	1495
886	11641	1483
887	11656	1470
888	11676	1457
889	11689	1444
890	11702	1431
891	11710	1417
892	11722	1404
893	11737	1391
894	11748	1378
895	11760	1365
896	11771	1351
897	11786	1338
898	11802	1326
899	11818	1313
900	11831	1300
901	11845	1287
902	11856	1273
903	11867	1260
904	11879	1246
905	11895	1234
906	11918	1222
907	11947	1210
908	11964	1197
909	11977	1184
910	11986	1171
911	11996	1157
912	12008	1144
913	12020	1131
914	12028	1117
915	12040	1104
916	12051	1090
917	12060	1077
918	12075	1064
919	12093	1051
920	12107	1038
921	12123	1025
922	12138	1012
923	12152	999
924	12161	986
925	12170	972
926	12181	959
927	12189	945
928	12200	932
929	12212	919
930	12221	905
931	12235	892
932	12246	879
933	12256	866
934	12267	852
935	12277	839
936	12291	826
937	12302	813
938	12316	800
939	12343	787
940	12355	774
941	12367	761
942	12376	748
943	12389	734
944	12399	721
945	12410	708
946	12422	695
947	12435	682
948	12446	668
949	12457	655
950	12467	642
951	12479	629
952	12488	615
953	12502	602
954	12514	589
955	12531	576
956	12562	564
957	12575	551
958	12585	538
959	12597	524
960	12609	511
961	12619	498
962	12628	485
963	12640	472
964	12654	458
965	12663	445
966	12676	432
967	12688	419
968	12702	406
969	12713	393
970	12723	380
971	12736	366
972	12753	353
973	12765	340
974	12774	327
975	12783	314
976	12794	301
977	12803	288
978	12816	274
979	12828	261
980	12842	248
981	12852	235
982	12873	222
983	12895	209
984	12922	196
985	12935	183
986	12944	170
987	12956	157
988	12967	144
989	12975	131
990	12986	117
991	12997	104
992	13005	91
993	13018	78
994	13034	65
995	13046	52
996	13054	39
997	13067	26
998	13083	13
999	13098	0
