iter	RMSE
0	114.9598468
1	113.300991
2	111.9888306
3	110.458207
4	109.1060662
5	108.153561
6	106.8593452
7	105.7857484
8	104.9263677
9	103.8421792
10	102.9521977
11	102.1180972
12	101.2830864
13	100.4695663
14	99.67231184
15	98.84789996
16	98.01274667
17	97.35192268
18	96.58542281
19	96.09044939
20	95.54114691
21	94.91187017
22	94.28449912
23	93.85742448
24	93.42626758
25	93.07227662
26	92.5121092
27	92.05536277
28	91.60777864
29	91.10949847
30	90.70829976
31	90.30686314
32	89.93614983
33	89.62296862
34	89.21420311
35	88.96292372
36	88.64813059
37	88.30908
38	87.8874383
39	87.64017658
40	87.42650713
41	87.09351061
42	86.83972568
43	86.65309226
44	86.41551599
45	86.2527247
46	86.13221797
47	86.057422
48	85.88421142
49	85.55960239
50	85.46958748
51	85.26173454
52	85.03648812
53	84.88257638
54	84.6488405
55	84.3259557
56	84.08479881
57	84.02868082
58	83.84818375
59	83.63758771
60	83.48704086
61	83.26690261
62	83.0465188
63	82.91477749
64	82.75202206
65	82.56770353
66	82.38390487
67	82.15763059
68	82.018232
69	81.87302165
70	81.67158773
71	81.48254188
72	81.29262434
73	81.13909206
74	80.97883996
75	80.87622728
76	80.69592423
77	80.53400396
78	80.31097703
79	80.03523498
80	79.85392503
81	79.78138349
82	79.6261208
83	79.5283733
84	79.37022652
85	79.25697901
86	79.0892972
87	78.98647999
88	78.79157839
89	78.67932176
90	78.56105045
91	78.41778336
92	78.32989078
93	78.17613263
94	78.09949628
95	78.02065065
96	77.91899171
97	77.87455275
98	77.73553434
99	77.65194632
100	77.52934779
101	77.42267859
102	77.30870896
103	77.04514655
104	76.95597818
105	76.68119216
106	76.53945233
107	76.41746261
108	76.29912918
109	76.22062457
110	76.0029363
111	75.8663499
112	75.73184686
113	75.63233064
114	75.41132945
115	75.32609384
116	75.08361157
117	75.02143093
118	74.94697854
119	74.81646578
120	74.73748423
121	74.65498748
122	74.60621495
123	74.51600051
124	74.44009464
125	74.31760339
126	74.25387996
127	74.15044082
128	74.10490513
129	73.95716513
130	73.86669438
131	73.75268714
132	73.67821948
133	73.62428629
134	73.49802732
135	73.41989085
136	73.38103487
137	73.22892805
138	73.17617316
139	73.14550576
140	73.02711586
141	72.88161766
142	72.81289845
143	72.68708542
144	72.61403839
145	72.51356927
146	72.4290146
147	72.38974971
148	72.25713174
149	72.21066446
150	72.11483908
151	72.03810728
152	71.91166005
153	71.81644467
154	71.73694038
155	71.59414967
156	71.51847715
157	71.48631888
158	71.42739969
159	71.33991296
160	71.26514864
161	71.21897994
162	71.14916544
163	71.05262947
164	70.97415915
165	70.87320558
166	70.79100183
167	70.6737404
168	70.55280459
169	70.52159208
170	70.4535221
171	70.39294068
172	70.36167038
173	70.21978576
174	70.17531004
175	70.09695048
176	70.03381854
177	69.96504553
178	69.90400002
179	69.86988967
180	69.79909006
181	69.71035623
182	69.64032597
183	69.61430676
184	69.5248351
185	69.38523424
186	69.36931886
187	69.29481905
188	69.2546288
189	69.233322
190	69.20372219
191	69.11177629
192	69.00822023
193	68.96411183
194	68.93733689
195	68.86479966
196	68.82300058
197	68.72376878
198	68.62594445
199	68.60341386
200	68.53299203
